image_stem,project,split,reading_gt,cluster_id,reading_group_id,relative_path,fixed_at
src_004_20260818_112000,meter_src004,train,3709726,src_004_C001,src_004_C001,raw/images/src_004_20260818_112000.jpg,2026-09-14
src_004_20260818_115100,meter_src004,train,3709760,src_004_C001,src_004_C001,raw/images/src_004_20260818_115100.jpg,2026-09-14
src_004_20260818_122200,meter_src004,train,3709791,src_004_C001,src_004_C001,raw/images/src_004_20260818_122200.jpg,2026-09-14
src_004_20260818_123400,meter_src004,train,3709804,src_004_C002,src_004_C002,raw/images/src_004_20260818_123400.jpg,2026-09-14
src_004_20260818_123600,meter_src004,train,3709807,src_004_C003,src_004_C003,raw/images/src_004_20260818_123600.jpg,2026-09-14
src_004_20260818_123800,meter_src004,train,3709809,src_004_C003,src_004_C003,raw/images/src_004_20260818_123800.jpg,2026-09-14
src_004_20260818_124200,meter_src004,train,3709814,src_004_C003,src_004_C003,raw/images/src_004_20260818_124200.jpg,2026-09-14
src_004_20260818_124400,meter_src004,train,3709817,src_004_C003,src_004_C003,raw/images/src_004_20260818_124400.jpg,2026-09-14
src_004_20260818_124600,meter_src004,train,3709819,src_004_C003,src_004_C003,raw/images/src_004_20260818_124600.jpg,2026-09-14
src_004_20260818_124800,meter_src004,train,3709822,src_004_C004,src_004_C004,raw/images/src_004_20260818_124800.jpg,2026-09-14
src_004_20260818_125200,meter_src004,train,3709827,src_004_C004,src_004_C004,raw/images/src_004_20260818_125200.jpg,2026-09-14
src_004_20260818_125400,meter_src004,train,3709830,src_004_C004,src_004_C004,raw/images/src_004_20260818_125400.jpg,2026-09-14
src_004_20260818_125600,meter_src004,train,3709833,src_004_C004,src_004_C004,raw/images/src_004_20260818_125600.jpg,2026-09-14
src_004_20260818_125800,meter_src004,train,3709836,src_004_C004,src_004_C004,raw/images/src_004_20260818_125800.jpg,2026-09-14
src_004_20260818_130000,meter_src004,train,3709888,src_004_C004,src_004_C004,raw/images/src_004_20260818_130000.jpg,2026-09-14
src_004_20260818_131200,meter_src004,train,3709851,src_004_C009,src_004_C009,raw/images/src_004_20260818_131200.jpg,2026-09-14
src_004_20260818_131800,meter_src004,train,3709857,src_004_C011,src_004_C011,raw/images/src_004_20260818_131800.jpg,2026-09-14
src_004_20260818_132200,meter_src004,train,3709800,src_004_C011,src_004_C011,raw/images/src_004_20260818_132200.jpg,2026-09-14
src_004_20260818_132400,meter_src004,train,3709862,src_004_C011,src_004_C011,raw/images/src_004_20260818_132400.jpg,2026-09-14
src_004_20260818_132800,meter_src004,train,3709865,src_004_C011,src_004_C011,raw/images/src_004_20260818_132800.jpg,2026-09-14
src_004_20260818_133000,meter_src004,train,3709867,src_004_C011,src_004_C011,raw/images/src_004_20260818_133000.jpg,2026-09-14
src_004_20260818_133200,meter_src004,train,3709868,src_004_C011,src_004_C011,raw/images/src_004_20260818_133200.jpg,2026-09-14
src_004_20260818_134800,meter_src004,train,3709882,src_004_C015,src_004_C015,raw/images/src_004_20260818_134800.jpg,2026-09-14
src_004_20260818_135000,meter_src004,train,3709884,src_004_C015,src_004_C015,raw/images/src_004_20260818_135000.jpg,2026-09-14
src_004_20260818_135200,meter_src004,train,3709886,src_004_C015,src_004_C015,raw/images/src_004_20260818_135200.jpg,2026-09-14
src_004_20260818_135400,meter_src004,train,3709888,src_004_C016,src_004_C004,raw/images/src_004_20260818_135400.jpg,2026-09-14
src_004_20260818_135600,meter_src004,train,3709889,src_004_C017,src_004_C017,raw/images/src_004_20260818_135600.jpg,2026-09-14
src_004_20260818_140200,meter_src004,train,3709894,src_004_C019,src_004_C019,raw/images/src_004_20260818_140200.jpg,2026-09-14
src_004_20260818_140400,meter_src004,train,3709896,src_004_C019,src_004_C019,raw/images/src_004_20260818_140400.jpg,2026-09-14
src_004_20260818_140800,meter_src004,train,3709900,src_004_C021,src_004_C021,raw/images/src_004_20260818_140800.jpg,2026-09-14
src_004_20260818_141000,meter_src004,train,3709902,src_004_C022,src_004_C022,raw/images/src_004_20260818_141000.jpg,2026-09-14
src_004_20260818_141200,meter_src004,train,3709904,src_004_C022,src_004_C022,raw/images/src_004_20260818_141200.jpg,2026-09-14
src_004_20260818_141600,meter_src004,train,3709907,src_004_C022,src_004_C022,raw/images/src_004_20260818_141600.jpg,2026-09-14
src_004_20260818_141800,meter_src004,train,3709908,src_004_C022,src_004_C022,raw/images/src_004_20260818_141800.jpg,2026-09-14
src_004_20260818_142000,meter_src004,train,3709910,src_004_C023,src_004_C023,raw/images/src_004_20260818_142000.jpg,2026-09-14
src_004_20260818_142200,meter_src004,train,3709911,src_004_C023,src_004_C023,raw/images/src_004_20260818_142200.jpg,2026-09-14
src_004_20260818_142400,meter_src004,train,3709913,src_004_C023,src_004_C023,raw/images/src_004_20260818_142400.jpg,2026-09-14
src_004_20260818_142600,meter_src004,train,3709915,src_004_C023,src_004_C023,raw/images/src_004_20260818_142600.jpg,2026-09-14
src_004_20260818_142800,meter_src004,train,3709917,src_004_C023,src_004_C023,raw/images/src_004_20260818_142800.jpg,2026-09-14
src_004_20260818_143000,meter_src004,train,3709919,src_004_C023,src_004_C023,raw/images/src_004_20260818_143000.jpg,2026-09-14
src_004_20260818_143200,meter_src004,train,3709921,src_004_C023,src_004_C023,raw/images/src_004_20260818_143200.jpg,2026-09-14
src_004_20260818_143400,meter_src004,train,3709923,src_004_C023,src_004_C023,raw/images/src_004_20260818_143400.jpg,2026-09-14
src_004_20260818_143600,meter_src004,train,3709924,src_004_C023,src_004_C023,raw/images/src_004_20260818_143600.jpg,2026-09-14
src_004_20260818_143800,meter_src004,train,3709924,src_004_C023,src_004_C023,raw/images/src_004_20260818_143800.jpg,2026-09-14
src_004_20260818_144000,meter_src004,train,3709928,src_004_C023,src_004_C023,raw/images/src_004_20260818_144000.jpg,2026-09-14
