image_stem,project,split,reading_gt,cluster_id,reading_group_id,relative_path,fixed_at
src_002_20260818_110000,meter_src002,val,0214943,src_002_C000,src_002_C000,raw/images/src_002_20260818_110000.jpg,2026-09-14
src_002_20260818_120200,meter_src002,val,0214945,src_002_C000,src_002_C000,raw/images/src_002_20260818_120200.jpg,2026-09-14
src_002_20260818_121000,meter_src002,val,0214946,src_002_C000,src_002_C000,raw/images/src_002_20260818_121000.jpg,2026-09-14
src_002_20260818_125800,meter_src002,val,0214947,src_002_C001,src_002_C001,raw/images/src_002_20260818_125800.jpg,2026-09-14
src_002_20260818_130000,meter_src002,val,0214948,src_002_C001,src_002_C001,raw/images/src_002_20260818_130000.jpg,2026-09-14
src_002_20260818_150200,meter_src002,train,0214950,src_002_C002,src_002_C002,raw/images/src_002_20260818_150200.jpg,2026-09-14
src_002_20260818_150800,meter_src002,train,0214951,src_002_C003,src_002_C003,raw/images/src_002_20260818_150800.jpg,2026-09-14
src_002_20260818_154800,meter_src002,val,0214952,src_002_C004,src_002_C004,raw/images/src_002_20260818_154800.jpg,2026-09-14
src_002_20260819_150000,meter_src002,test,0214960,src_002_C005,src_002_C005,raw/images/src_002_20260819_150000.jpg,2026-09-14
src_002_20260819_151000,meter_src002,test,0214971,src_002_C006,src_002_C006,raw/images/src_002_20260819_151000.jpg,2026-09-14
src_002_20260819_151500,meter_src002,test,0214971,src_002_C007,src_002_C006,raw/images/src_002_20260819_151500.jpg,2026-09-14
src_002_20260819_152000,meter_src002,test,0214971,src_002_C007,src_002_C006,raw/images/src_002_20260819_152000.jpg,2026-09-14
src_002_20260819_152500,meter_src002,test,0214971,src_002_C007,src_002_C006,raw/images/src_002_20260819_152500.jpg,2026-09-14
src_002_20260819_153000,meter_src002,test,0214971,src_002_C007,src_002_C006,raw/images/src_002_20260819_153000.jpg,2026-09-14
src_002_20260819_153500,meter_src002,test,0214971,src_002_C007,src_002_C006,raw/images/src_002_20260819_153500.jpg,2026-09-14
src_002_20260819_154000,meter_src002,test,0214971,src_002_C008,src_002_C006,raw/images/src_002_20260819_154000.jpg,2026-09-14
src_002_20260819_154500,meter_src002,test,0214971,src_002_C009,src_002_C006,raw/images/src_002_20260819_154500.jpg,2026-09-14
src_002_20260819_155500,meter_src002,test,0214971,src_002_C009,src_002_C006,raw/images/src_002_20260819_155500.jpg,2026-09-14
src_002_20260819_160500,meter_src002,test,0214971,src_002_C009,src_002_C006,raw/images/src_002_20260819_160500.jpg,2026-09-14
src_002_20260819_161500,meter_src002,test,0214971,src_002_C009,src_002_C006,raw/images/src_002_20260819_161500.jpg,2026-09-14
src_002_20260819_162500,meter_src002,test,0214971,src_002_C009,src_002_C006,raw/images/src_002_20260819_162500.jpg,2026-09-14
src_002_20260901_133200,meter_src002,val,0215189,src_002_C010,src_002_C010,raw/images/src_002_20260901_133200.jpg,2026-09-14
src_002_20260901_134000,meter_src002,val,0215189,src_002_C010,src_002_C010,raw/images/src_002_20260901_134000.jpg,2026-09-14
src_002_20260901_134800,meter_src002,val,0215189,src_002_C010,src_002_C010,raw/images/src_002_20260901_134800.jpg,2026-09-14
src_002_20260901_135600,meter_src002,val,0215189,src_002_C010,src_002_C010,raw/images/src_002_20260901_135600.jpg,2026-09-14
src_002_20260901_140400,meter_src002,val,0215189,src_002_C010,src_002_C010,raw/images/src_002_20260901_140400.jpg,2026-09-14
src_002_20260901_140800,meter_src002,val,0215189,src_002_C011,src_002_C010,raw/images/src_002_20260901_140800.jpg,2026-09-14
src_002_20260901_141200,meter_src002,val,0215189,src_002_C012,src_002_C010,raw/images/src_002_20260901_141200.jpg,2026-09-14
src_002_20260901_141600,meter_src002,val,0215189,src_002_C012,src_002_C010,raw/images/src_002_20260901_141600.jpg,2026-09-14
src_002_20260901_142000,meter_src002,val,0215189,src_002_C012,src_002_C010,raw/images/src_002_20260901_142000.jpg,2026-09-14
